user,relevant,developer
"I wrote a review a while back that the app no longer showed saved locations making it cumbersome to go to ‘home’ or ‘work’ since those saved locations do not show up in ‘recent searches’. I am very impressed that google responded to my review and fixed the issue. Unfortunately, the fix is not entirely 100% and the app now is rather temperamental about whether or not it shows the stored locations. It seems that if you still have a route displayed and then want to change it, the app won’t show stored locations but when you start from the map/satellite image of your current location, it will. Previous review: Used to work beautifully for the daily commute from/to work/home because of real-time traffic. Now, however, when picking a destination it only shows recent searches and not saved locations like home or work. It’s irritating and defeats the purpose of having stored locations. Yes, I do know the usual way home but the whole purpose of using google maps is to know the best route given the current traffic situation",1,"Thank you for letting us know about this issue, and your patience as we fixed the problem. We appreciate it! With the latest update, Google Maps should now be working as usual."
"Th first time iOS maps sent me to the wrong place, way out in the country somewhere, I couldn’t believe Apple had messed up. I sent Apple a message about what was wrong and expected them to fix it. Four times in six months I reminded them that they were wrong. Then they sent me a message that they had fixed the problem. I checked, they hadn’t. What I love best about Google maps is they tell you what lane to be in for the up coming turn. I don’t like that they only give you a two mile warning about your exit on the freeway/highway. If you’re in the wrong lane at 75 mph in heavy traffic, that’s not enough warning. iOS maps gives you more miles to play with, but that’s my only complaint so far. And they do show you an arrow so you can see which way you’ll be going, but I can’t see any of it with my sunglasses on. To keep slipping them down so I can see what’s coming and how soon while driving is both a pain and not safe. I wish they’d offer more info starting with 10 miles, then 5, then 2 or something...and do it verbally so I don’t have to play with my sunglasses or look down.",0,
"This is a great map, it will show you where everything is, but’s it’s impossible to use on trips or custom maps. If you’re looking for directions without a custom map and for only one destination, this map is for you. If you create your own maps, need to look up multiple destinations, or are on a trip, it’s near impossible. First of all, I had my mom send me the link to our custom map. It send to my gmail, no problem. Then I’d click on the map, and it either wouldn’t load, or take me to Safari. The Safari view would show the map, but decline to let you get directions unless you signed in. Okay. I signed in. Well, it took my back to my home address, and sent me on a infinite loop, going from clicking the link in my email, getting sent to safari, logging in, and losing the map. I had to redownload the app four times before it worked. Second of all, the map legend isn’t interactive. I’m going to new york, and spent six hours working on a custom map, with a pin for every single place I wanted to go. i downloaded the app, only to find that in the map legend, you can’t click on individual icons, forcing you to leave the map legend, and click on every single icon until it pops up. Very dissapointed.",0,
"On July 26th of 2014, I was on my way to a bicycle store that is in my mother’s town. That morning, I decided to use Google Maps to find the fastest route to the bicycle store. I noticed it marked a different route than usual but it was way faster, so I decided to go for it. On my way, I see a woman walking whom (fortunately for me) dropped her briefcase full of clothes. I decided to stop and give her a hand. Her name was (and is) Martha, and I’m so grateful I met her thanks to Google Maps. After helping her I decided to ask her out; she said no. I got disappointed so I hopped in my car and decided to continue my trip. Once I arrived to the store, they told me they had just received a new bicycle minutes before I arrived and they showed it to me; the bicycle was amazingly beautiful and I’m so grateful the alternative route from Google Maps made me go through a street where the lady which turned me down dropped her suitcase and made me stop to arrive just after the new bike had arrived. 5 stars; me and Lana (my bike) couldn’t be more grateful.",0,
"Let me start out by saying I hate google maps. Recently I had to go to a meeting out of town, almost 3 hrs. away. When it said I had arrived I was at a barn out in the middle of nowhere. I’m thinking that maybe I’m 10-15 minutes away and when I put it back in it tells me I’m over an hour away 🤬. It had taken me in the total opposite direction. Someone said maybe it said turn right and you turned left, but no it didn’t do that and if that had been the case and I turned the wrong way it would have rerouted me back to where I needed to be. Yes I had the correct address in. If this had been winter and snowy it could have been deadly. Another time I was going to a meeting somewhere else and that was a little over 3 hours away. I knew most of the way, it was just going into the area where I had to get on the freeway that I wanted the help with but had it on from when I left my home so I didn’t have to mess with it while driving. It kept trying to detour me off my route to what it thought was the fastest way even tho that wasn’t the way I wanted or was going. The so called fastest route had a lot of switch back turns. I wanted the straight shot. It was only 25 minutes difference. IF I CHOOSE A ROUTE OVER A DIFFERENT ROUTE I HAVE A REASON. DON’T REROUTE ME!!!",0,
"I’ve been using Google maps since it first came out and it’s been great, except for a couple minor issues. I don’t use it for turn-by-turn navigation, I use it to estimate my travel time based on current traffic conditions and to find an address. It does those tasks fairly well, except.... On my phone’s tiny screen I cannot read the street names. Thankfully there is a zoom feature....except...and this makes the app absolutely useless....the street names do not get bigger. Do the programmers not understand thats why I want to zoom in? To not only see the tiny streets but to enlarge the tiny street names? Another issue I have is after it plots your routing, it overwrites the street names with the blue route highlighting. To read the street names you have to switch between the text route and the map route. There are several other issues I have but the last I’ll discuss here is the inability to forecast the route like you can in the desktop version. I have to switch to my laptop if I want to know what time I have to leave in order to arrive at a certain time, but many times I don’t have my laptop with me.",0,
"I have used this app for years as I am a courier and the option to put multiple stops is amazing!  However within really the last year, development has gotten messy and far too often I see new features just tossed into this app without little thought about them being annoyances to the everyday user.  Like a month or so ago you would hit go and instead of automatically starting your route it would proceed to tell you how the traffic patterns are normally and how it is now....thanks I could care less and I don’t need the extra step.  Now there’s a bug where you hit star over and over and nothing happens so you need to slide that bar up which then shows you the traffic pattern times (really wanna shove that stupid feature down our throats huh google?) and then hit start.  And now it seems to have issues finding the most common of cities saying it can’t find a way there.  Best thing I can recommend is wait it out and once google has fixed all the bugs and things seem stable, shut off the auto updates for this app.  They tinker with it way too much and you never know what the next problem is gonna be.",0,
"Google Maps is without question one of the most, if not the most popular navigation app. It’s worked decent for me, why, you may ask, am I saying only decent? Well, here’s why. First of all, I use Apple Maps as well, and that app will usually give me more convenient directions/routes to certain places. For instance, if I’m going to the mall and I put it into Apple Maps, it will send me the route that I’d normally take anyway. However, this is not the case with Google Maps. It will usually take me routes that rarely anyone would take to get to said destination, and I’ve found that I would arrive a few minutes later than I would have if I had taken the route I normally take. It also will sometimes glitch while I’m driving and tell me to turn at the very last second, causing me to either slam my brakes or completely miss the turn. This is very frustrating, especially on the thruway. Both of the issues I’ve talked about seem very fixable, and I hope they eventually get fixed and fast because a lot of people use this app and rely on it to get them places every day.",0,
"Before your last couple of updates, I would have rated this app at 5 stars, but the last update has sent me looking for a new map app. Google maps used to be my go-to navigation app, but no longer. Markings for roads/highways are so pale now that they’re almost unseeable. Road names don’t appear until you’ve zoomed in so far that you can’t see their relation to other roads in the area. Before the last update, you could look at the U.S. or state map and at least see Interstate highway markings...no more.  Once you move on to ‘directions’, the roads on your route are highlighted but you can’t see names of surrounding roads unless you zoom in to a point that makes looking irrelevant. I could go on and on. Your updates have weakened the usefulness of your app. Using Google maps is no longer helpful...it’s frustrating. Wish we could ‘opt out’ of updates or at least choose the version that works best for us. I miss the ease of use and effective markings of previous versions...hope another app has incorporated features you have discarded. I appreciate the years that you helped me in my travels, but I’ll be looking for help elsewhere now. Thanks for the memories....",0,
"I’m a Chinese native living in the US and I keep my iOS in Chinese. First, the app won’t let you choose which language to use. Second, it shows reviews of a place in Chinese first. For famous places like the MET museum in NYC, there are hundreds or thousands reviews in Chinese and I cannot see any reviews from people of different backgrounds unless I scroll for ten minutes, I guess. I actually feel somewhat discriminated by this sorting of reviews. Showing the most helpful reviews (helpfulness rated by other reviewers) is a much fair and meaningful way. Third, the Google Translation is imbedded no matter people complain about it. They seemed to stop translating English into Chinese now but it continues to “translate” Traditional Chinese to Simplified Chinese (my iOS language), which is absolutely unnecessary (99.9% Chinese speakers can recognize both ways of writing). Even worse is that in the last version I found some reviews are shown with the tags “translated” and “original” but there isn’t any content after “translated”; basically, it didn’t “translate” but has those tags, which wastes space that I only see “translated” and a space line before clicking the review to expand it. Google, stay simple! We don’t want Your opinion and interference.",0,
"I fell in love with Google Maps maybe about 7 years ago. It’s the reason I was one of the quickest pizza delivery drivers and why I’m always the one navigating family trips. I’ve been in Europe for 3 months now, and I rely desperately on my saved locations when exploring new countries. It was working beautifully until about 2 weeks ago (I assume with this new update), and when I was in London last week I was struggling to hit all the places I planned on because the map was refusing to show my saved places (my data is slow so I rely on Google Maps). I’m taking my last trip tomorrow and I don’t want to say that Google Maps is going to ruin the trip - but it definitely won’t make my trip any easier (like it used to). This is coming from a Google Maps enthusiast that annoys all her friends when she worships it (and bashes all other “Maps”). Please Google, fix this problem. I’m sure you won’t be able to for my trip tomorrow, but if my comment helps someone else, then AWESOME! And to the Google Team, I love you. Really. Thank you. May you get all the donuts you deserve.",0,
"Google maps has recently added probably the worst feature you could possibly imagine to an map app. If you live in a dense urban area like me (I live in Atlanta). The absolute last thing I want my map app to do when I'm getting close to my destination is to assume I know the rest of the way and begin to zoom out and rotate to look aesthetically cool or something. I'm not there yet! In many cases I've never been to this store/restaurant/venue and when 100s of places are in only a couple blocks of each other I don't need my map app to zoom out and rotate to look cool when I'm still trying to figure out where I'm going! I have to try to rotate my head to follow the screen all while I'm still driving. I have missed my location many times because of this completely unhelpful feature. This may be fine in rural areas, but this is a terrible design flaw for highly dense cities. It's dangerous and serves no constructive purpose, and is just a shallow attempt to look fancy for an absolutely zero functional or helpful propose. Wait till I am parked and not moving or have somehow indicated that I gave arrived.",0,
"Google has a amazing knack for to combining sheer brilliance with mind-numbing incompetence, and this app has plenty of both. I use it from time to time because it does one thing extremely well, routing. Especially in traffic I find the routing to be the best and most reliable there is. Estimates of traffic times are very good, and alternate route selection tends to be quite solid and useful. No for the bad part. For whatever reason, Google (bless their hearts) cannot seem to write a functioning app. Through numerous iterations Google Maps has been plagued with very serious, frequent bugs of the types that will leave you stranded. The current version of the app freezes, loses track of your current location, refuses to connect to the internet for absolutely no reason, and is just downright flakey. Previous versions have had even more serious problems. (Some will recall the version that refused to navigate from the current location, rendering the app useless for navigation.) So try Google Maps for routing, but don’t rely on it for your sole source of navigation because it will leave you stranded. At least until Google learns how to write more reliable apps.",1,"Thank you for letting us know about this issue, and your patience as we fixed the problem. We appreciate it! Google Maps should now be working as usual."
"Used to have to click 2 or 3 buttons to start a route, now simply load the address, click start and BAM you're on your way. Very convenient, especially when behind the wheel and you get sent to a different job. The one thing I would like to see improvement on is when I get my schedule emailed to me, I can copy the address from the native mail app, double click and sometimes at the bottom there will appear a ""get directions to -- in google maps"". Clicking on that loads maps, but it always says ""can't find a way there"". I can paste the address in fine, but it would be nice if this would work. A big improvement would be if a press and hold on the address would allow me to press ""open in google maps"" instead of the native apple maps would be great. —————UPDATE————— There is a bug where when you save a location to one of your lists, then add a custom label, it doesn’t save the custom label. Clicking on the saved location doesn’t show any label added. Searching for the label works, but it very inconvenient. I add custom labels to places I go, and look back through the maps later.",0,
"Hi! I love the list feature in google maps, but I have one issue. I use the built-in Want to Go green marker on places, but I also have my own list that I call Actively Want to Go. Anyway, when I click my places and look exclusively at this list I’ve made, I like to zoom in on a neighborhood and click a place to get more info on it. Once I’ve read the info (hours, etc), I usually exit out of the place-specific info and want to see what else is in that neighborhood that’s on my list. Once I ex out of a restaurant’s info,  the view zooms out completely and I have to zoom back in and find where I was. This is super annoying! Would really appreciate a fix! This is especially annoying bc sometimes a list I’ve made spans multiple cities in the US, and so once I zoom in and read a New York cafe’s hours and other info, I exit and then it zooms out and gives me a view of the whole continental US. This is super annoying! Pls fix, Google 💜 the only fix right now on my end  is to avoid making lists that span multiple cities to avoid a large zoom out, but I think this is something y’all can fix easily",0,
Google maps has always been my go to. I was on my way home yesterday from Florida to Tennessee hauling a horse. The trip down took about 9-10 hours and was a breeze. The exact same route home cost me 7 additional hours with a live animal to care for. For some reason maps decided on its own that I needed to go a different way. I didn't realize until it was too late that instead of heading north then west home I was heading north to the coast. I would have been at the ocean if I95 hadn't been shut down forcing me to turn around. When trying to correct the route the app wouldn't let me change the route by touch as it has in the past. I also got a weird different view of a car in a map. The app used to say turn right straight or left when heading out. Now it just says head north etc. I'm not a compass and my truck is not equipped with one. So totally useless. The app also doesn't tell me to turn until I'm right on top of it. THEN instead of telling me to u turn like it used to or saying rerouting to give me the option google now just gives me new directions. To say the least I won't use the app again that has been my favorite go to. Thank you google for costing me an additional $200 in fuel and 7 hours out of my life.,0,
"Everything in Google Maps is excellent. Now with iOS 12 adding support for third-party navigation maps in CarPlay, we’re now able to use Google Maps and Waze in CarPlay. However, there are two main issues. One, there’s no speed limit. This is a necessity and it’s kind of inexcusable that Google Maps doesn’t have this feature while Apple Maps and Waze (also from Google) do. Two, the voice feature doesn’t work at all in CarPlay. All the proper permissions have been allowed and all that happens when you press the microphone icon on the car screen in Google Maps is that you get the sound and the visual but nothing else. It sometimes says “No internet connection” and cancels, but mostly it hangs there. What’s happening is that it’s hanging there listening but it’s not receiving audio from the car’s microphones. I know that works because if you press the voice button on the steering wheel and use Siri, she hears and responds fine. Must be fixed to allow voice control or add Siri support.",1,"Speed limits in navigation should be available in your country! Thank you for your patience as we roll this feature out. To use this feature (once it’s available to you) in the latest version of Google Maps just start driving navigation. In some locations, the maximum speed limit appears as a black and white box. In other locations, the maximum speed limit may appear as a red and white circle. You can learn more about this feature in this Google Maps Help Center article: https://support.google.com/maps/answer/3273406"
"Help! Since updating my iPhone to iOS12, google maps is practically useless for me. The lag in navigation is unbelievable, if it works at all. Since updating, the voice directs me where to go AFTER I’ve passed the turn/street/place. She’s constantly telling me to make u-turns. And to make them where there is no place to make them. I often drive right past my destination and she hasn’t even gotten to the street I’m on. And more often than not, Google Siri stops providing voice direction mid-way through a journey, instead making me have to look away from the road to see where the next turn will be. Very dangerous. I have preferred google maps to Apple’s version all along. Sadly, that may soon change for me if google maps continues its glitchy ways. If there’s a fix, please let me know!!! Also - that “explore the neighborhood” thing that immediately pops up and covers 60% of the map screen when I need to get directions is annoying, as it’s an ad gimmick that forces the user to do an extra step (swipe it away) before navigating. Get that thing out of there! If I’m looking for directions to somewhere else, I’m not gonna explore anything where I already am, as I’m LEAVING the area. Sheesh!",0,
"I love the feature that allows you to search along the route for different key words!! What would really make it awesome though would be if I could see what the weather would be along the route assuming that travel rate is kept constant. As extra brownie points, if they could add the ability to easily avoid weather by altering travel such as stopping to take a break to allow a storm to get ahead of you or possibly taking a different road. Showing the impact on travel would based on the decision could be similar to the way the traffic option works such as: “bad weather ahead, minimize contact with storm by taking a 10 minute break or taking a different route. Impact would result in a 20 minute delay. Would you like to take this alternate route?” If they could add the ability to set a speed alert, that would be amazing! For example, ability to alert driver when traveling at speed which is greater than 11 MPH over speed limit. Another helpful option relating to speed would be one that alerts the driver if the current speed limit is changing ahead and when it actually changes.",1,"Thanks for the review. Please submit your feedback through the application: open maps, select ☰ (Side menu top left corner) &gt; Send feedback &gt; Your opinions about Maps &gt; Submit. This will ensure your feedback is sent directly to the teams that can use your ideas."
"Google maps has always been quite reliable in the past, but over the last few weeks it has been terrible about sending us the best route to avoid traffic. I’m currently stuck in a traffic jam caused by 4 accidents. There was an easy route to avoid this jam completely, but the Google Maps App didn’t tell us there was a jam until we were already stuck in it, high on a bridge to switch freeways. This jam has clearly been building up for a considerable period before we got the the place where we could have avoided it, but the app gave us no advance warning. Then, when we were irrevocably stuck, it suddenly had information about all the accidents and the extent of the traffic blockage. This seems a pretty unacceptable lapse in providing critical information about routes and traffic flow. Additionally, while it often chooses a logical route, there are times that it sends us in literal circles, ever farther from what is clearly the most practical path to our destination. This too is a recent failing. I don’t know the cause of Google Maps’ recent lapse in quality, but I hope it is rectified soon so that I don’t have to find a new map service.",1,"Thanks for your review! Check out some tips from our Help Center on how to improve the apps speed as this is the likely cause of what you are seeing: https://goo.gl/GW6uOo.   Also, please check out this Help Center link for some tips that might help improve your location accuracy: https://goo.gl/XlhhQr"
"Whether you have other maps including your iPhone or phone’s depending on the phone obviously; this is not only a fun app to have because it can show you more of the place as well as give detailed information to to even when it’s busy itself most nights and in live time. But it’s also a relevant app, leaving you the option from the beginning to see the streets and know the traffic patterns. Ask yourself what your email address is? I remember in 6th grade google was handing out only 6 invites to gmail as the only way to get one. Because they always give their best. Maybe you don’t have gmail, maybe you don’t like google but as far as storage, apps, the earth to documents, they’re and doing all they can and they haven’t failed me. This app won’t fail. Check everything. Follow the directions make sure to pay attention at worst you’ll have another app in case your default one fails at best it’s useful and very helpful.",0,
"The most recent update, 4.39, has more bugs than before; the map and spoken directions are often different, the map shows the vehicle sideways or going the opposite direction you are doing and the directions indicate you should be going, and it keeps telling new directions even when you are just continuing on the same route and following its directions. Two years ago, Google Maps was the mapping app to use, it gave accurate maps (showing and predicting traffic with amazing accuracy) and gave the best, quickest routes. Now, it does not show traffic on the map along the directed route and it often does not add the additional time for expected traffic until you have been sitting in traffic for five or ten minutes. Additionally, it often has trouble identifying where you are and what direction you are going. It has reached the point where the once superior app is not significantly better than other competing map apps. One positive improvement in the last few years is being able to search along your route for things like food and gas (including most gas prices).",0,
"I used to have no issues with this but lately it has been changing my destination with no notification and taking me to the wrong spot. This is happening 100% of the time now and so I can’t rely on it anymore because it takes me to a random location each time. Over the past week it has caused me to drive an extra 50 miles and wasted several hours of my time. Not sure what they did to this last update but I’ll be finding an alternative now. EDIT IN RESPONSE: Typically I’d be navigating based on latitude/longtitude coordinates but it also happened when setting a destination based on address. I also found that it tended to send me back to certain locations repeated times as long as they were within a mile or so of the actual destination. I have no saved addresses so that wouldn’t have been the cause. EDIT 1/31: Yes, I’d be using Safari and a link that opened Google Maps with the coordinates prefilled. The destination would always be accurate for a few minutes but the route would silently change on me and point me to somewhere totally different, sometimes up to a mile away in a completely different direction nowhere close to the original destination.",1,"2/20/18 Are you still experiencing this issue? 2/6/18 Thank you for your patience and responses. Can you please send the starting point and destination (link) you were trying to navigate to, along with the destination Google Maps actually sent you to? This will help us investigate further. You can either respond with the information here or submit a feedback report within the app by following the steps below: Open the Google Maps app &gt; tap Menu (top left corner) &gt; Help &amp; Feedback &gt; tap Send feedback &gt; Send app feedback. In your feedback report, please be sure to include the hashtag #mapsfeedback."
"It gives you such detail that is amazing, one of the best apps I have on my iPad I not only use it to find places I need to be in it kills me a time estimated time that you will arrive, very handy. And the turn by turn directions outstanding I don’t know why you would need To use any other app for Finding a destination . Used to be hard to kind of find places that’s in the past we get to the right place the first time with the outstanding turn by turn directions. The only thing it lacks is to be able to see real traffic, I did one time was able to see real traffic cars that passed me in the cars that passed in real time because it only was one time I cannot get that optional more. What happened Google maps. I would recommend this app to my grandmother it sure does a good job thank you very much Sincerely yours Never get lost",0,
"I have Google maps, Waze and the Apple maps apps on my phone because a perfect map app doesn’t exist and I like/dislike all 3 for different reasons. We all know Waze tries to dodge traffic even if that means taking you 10 miles out to a roundabout way up a mountain and/or through the underbelly of a city you never knew existed. This can be refreshing or annoying depending on the situation.... whereas Google maps was more straight forward. Lately though Google seems to have adopted this Waze strategy of zig zagging me through neighborhoods to get 8 miles when an arterial road or highway IS available and NOT too backed up with traffic. Recently I had my boss with me for a ride along and I seriously think he thought I was completely stupid due to the funky ways we were going everywhere which made zero sense yet this was all the Google maps navigation. Honestly it was embarrassing. Please add a feature so we can choose if we want the roundabout or straight forward route rather than forcing us on these scribble doodles across Town which inevitably involve 4-5 left turns onto 5 lane roads with a 60 mph speed limit and not traffic light in sight. The KISS philosophy would serve you well here",0,
